Date,Price,Change,PercentChange,dummy,
2018/4/12,26.09,-5.81,-18.21316614,0,
2018/4/5,31.9,-0.04,-0.125234815,0,
2018/3/29,31.94,-1.29,-3.882034306,0,
2018/3/22,33.23,-3.61,-9.799131379,0,
2018/3/15,36.84,10.44,39.54545455,1,
2018/3/8,26.4,-15.23,-36.58419409,0,
2018/3/1,41.63,-3.02,-6.763717805,0,
2018/2/22,44.65,-3.87,-7.976092333,0,
2018/2/15,48.52,11.49,31.02889549,1,
2018/2/8,37.03,-7.74,-17.28836274,0,
2018/2/1,44.77,-0.68,-1.496149615,0,
2018/1/25,45.45,-8.66,-16.00443541,0,
2018/1/18,54.11,5.44,11.17731662,1,
2018/1/11,48.67,-11.08,-18.54393305,0,
2018/1/4,59.75,7.1,13.48528015,1,
2017/12/28,52.65,2.15,4.257425743,1,
2017/12/21,50.5,5.5,12.22222222,1,
2017/12/14,45,8.12,22.01735358,1,
2017/12/7,36.88,0.93,2.586926287,1,
2017/11/30,35.95,0.46,1.296139758,1,
2017/11/23,35.49,6.14,20.91993186,1,
2017/11/16,29.35,-15.75,-34.92239468,0,
2017/11/9,45.1,0.05,0.110987791,1,
2017/11/2,45.05,5.41,13.64783047,1,
2017/10/26,39.64,1.71,4.508304772,1,
2017/10/19,37.93,-1.84,-4.626602967,0,
2017/10/12,39.77,4.17,11.71348315,1,
2017/10/5,35.6,2.27,6.810681068,1,
2017/9/28,33.33,-6.81,-16.96562033,0,
2017/9/21,40.14,-1.15,-2.785178009,0,
2017/9/14,41.29,12.01,41.01775956,1,
2017/9/7,29.28,4.28,17.12,1,
2017/8/31,25,-3.1,-11.03202847,0,
2017/8/24,28.1,-6.07,-17.76412057,0,
2017/8/17,34.17,0.5,1.485001485,1,
2017/8/10,33.67,-2.44,-6.757130989,0,
2017/8/3,36.11,1.65,4.788160186,1,
2017/7/27,34.46,-1.02,-2.874859076,0,
2017/7/20,35.48,7.24,25.63739377,1,
2017/7/13,28.24,-1.34,-4.530087897,0,
2017/7/6,29.58,-0.13,-0.43756311,0,
2017/6/29,29.71,-2.94,-9.004594181,0,
2017/6/22,32.65,0.38,1.177564301,1,
2017/6/15,32.27,-3.16,-8.918995202,0,
2017/6/8,35.43,8.51,31.61218425,1,
2017/6/1,26.92,-5.94,-18.07668898,0,
2017/5/25,32.86,9.01,37.77777778,1,
2017/5/18,23.85,-8.88,-27.13107241,0,
2017/5/11,32.73,-5.34,-14.02679275,0,
2017/5/4,38.07,0.02,0.052562418,1,
2017/4/27,38.05,12.34,47.99688837,1,
2017/4/20,25.71,-3.26,-11.25302037,0,
2017/4/13,28.97,0.67,2.367491166,1,
2017/4/6,28.3,-1.92,-6.353408339,0,
2017/3/30,30.22,-5.06,-14.34240363,0,
2017/3/23,35.28,4.11,13.18575553,1,
2017/3/16,31.17,1.17,3.9,1,
2017/3/9,30,-7.91,-20.86520707,0,
2017/3/2,37.91,-0.55,-1.430057202,0,
2017/2/23,38.46,5.37,16.22846782,1,
2017/2/16,33.09,-2.71,-7.569832402,0,
2017/2/9,35.8,3,9.146341463,1,
2017/2/2,32.8,1.22,3.86320456,1,
2017/1/26,31.58,-5.43,-14.67171035,0,
2017/1/19,37.01,-6.63,-15.19248396,0,
2017/1/12,43.64,-2.56,-5.541125541,0,
2017/1/5,46.2,0.63,1.382488479,1,
2016/12/29,45.57,0.96,2.15198386,1,
2016/12/22,44.61,-0.05,-0.111957009,0,
2016/12/15,44.66,1.54,3.571428571,1,
2016/12/8,43.12,-0.66,-1.507537688,0,
2016/12/1,43.78,-6.11,-12.24694328,0,
2016/11/24,49.89,3.24,6.945337621,1,
2016/11/17,46.65,7.76,19.95371561,1,
2016/11/10,38.89,15.25,64.50930626,1,
2016/11/3,23.64,-1.11,-4.484848485,0,
2016/10/27,24.75,1.01,4.254422915,1,
2016/10/20,23.74,-1.73,-6.792304672,0,
2016/10/13,25.47,-3.32,-11.53178187,0,
2016/10/6,28.79,4.79,19.95833333,1,
2016/9/29,24,-0.83,-3.342730568,0,
2016/9/22,24.83,-3.11,-11.13099499,0,
2016/9/15,27.94,-1.81,-6.084033613,0,
2016/9/8,29.75,1.15,4.020979021,1,
2016/9/1,28.6,-0.82,-2.787219579,0,
2016/8/25,29.42,-6.14,-17.26659168,0,
2016/8/18,35.56,4.27,13.64653244,1,
2016/8/11,31.29,1.5,5.035246727,1,
2016/8/4,29.79,-1.46,-4.672,0,
2016/7/28,31.25,-4.18,-11.79791137,0,
2016/7/21,35.43,-1.44,-3.905614321,0,
2016/7/14,36.87,5.81,18.70573084,1,
2016/7/7,31.06,2.15,7.436873054,1,
2016/6/30,28.91,6.94,31.58852981,1,
2016/6/23,21.97,-3.38,-13.33333333,0,
2016/6/16,25.35,-2.48,-8.911246856,0,
2016/6/9,27.83,-2.34,-7.756049055,0,
2016/6/2,30.17,12.42,69.97183099,1,
2016/5/26,17.75,-1.59,-8.221302999,0,
2016/5/19,19.34,-1.07,-5.242528172,0,
2016/5/12,20.41,-1.92,-8.598298253,0,
2016/5/5,22.33,-5.04,-18.41432225,0,
2016/4/28,27.37,-6.04,-18.07841963,0,
2016/4/21,33.41,5.56,19.96409336,1,
2016/4/14,27.85,-4.34,-13.48244797,0,
2016/4/7,32.19,5.01,18.43267108,1,
2016/3/31,27.18,-6.6,-19.53818828,0,
2016/3/24,33.78,3.82,12.75033378,1,
2016/3/17,29.96,-7.4,-19.80728051,0,
2016/3/10,37.36,5.34,16.67707683,1,
2016/3/3,32.02,0.83,2.66110933,1,
2016/2/25,31.19,3.63,13.1712627,1,
2016/2/18,27.56,8.32,43.24324324,1,
2016/2/11,19.24,-8.31,-30.16333938,0,
2016/2/4,27.55,-2.2,-7.394957983,0,
2016/1/28,29.75,8.23,38.24349442,1,
2016/1/21,21.52,3.62,20.22346369,1,
2016/1/14,17.9,-4.27,-19.26026161,0,
2016/1/7,22.17,-2.9,-11.56761069,0,
2015/12/31,25.07,-1.31,-4.965883245,0,
2015/12/24,26.38,2.51,10.51529116,1,
2015/12/17,23.87,-4.64,-16.27499123,0,
2015/12/10,28.51,-0.98,-3.323160393,0,
2015/12/3,29.49,-2.87,-8.868974042,0,
2015/11/26,32.36,1.59,5.167370816,1,
2015/11/19,30.77,-3.5,-10.2130143,0,
2015/11/12,34.27,-4.73,-12.12820513,0,
2015/11/5,39,-1.39,-3.441445902,0,
2015/10/29,40.39,5.62,16.16335922,1,
2015/10/22,34.77,0.69,2.024647887,1,
2015/10/15,34.08,-3.44,-9.168443497,0,
2015/10/8,37.52,9.41,33.47563145,1,
